"alabama,autauga , United States","alabama autauga"
"indiana,lawrence , United States","indiana lawrence"
"indiana,madison , United States","indiana madison"
"indiana,marion , United States","indiana marion"
"indiana,marshall , United States","indiana marshall"
"indiana,martin , United States","indiana martin"
"indiana,miami , United States","indiana miami"
"indiana,monroe , United States","indiana monroe"
"indiana,montgomery , United States","indiana montgomery"
"indiana,morgan , United States","indiana morgan"
"indiana,newton , United States","indiana newton"
"indiana,noble , United States","indiana noble"
"indiana,ohio , United States","indiana ohio"
"indiana,orange , United States","indiana orange"
"indiana,owen , United States","indiana owen"
"indiana,parke , United States","indiana parke"
"indiana,perry , United States","indiana perry"
"indiana,pike , United States","indiana pike"
"indiana,porter , United States","indiana porter"
"indiana,posey , United States","indiana posey"
"indiana,pulaski , United States","indiana pulaski"
"indiana,putnam , United States","indiana putnam"
"indiana,randolph , United States","indiana randolph"
"indiana,ripley , United States","indiana ripley"
"indiana,rush , United States","indiana rush"
"indiana,st joseph , United States","indiana st joseph"
"indiana,scott , United States","indiana scott"
"indiana,shelby , United States","indiana shelby"
"indiana,spencer , United States","indiana spencer"
"indiana,starke , United States","indiana starke"
"indiana,steuben , United States","indiana steuben"
"indiana,sullivan , United States","indiana sullivan"
"indiana,switzerland , United States","indiana switzerland"
"indiana,tippecanoe , United States","indiana tippecanoe"
"indiana,tipton , United States","indiana tipton"
"indiana,union , United States","indiana union"
"indiana,vanderburgh , United States","indiana vanderburgh"
"indiana,vermillion , United States","indiana vermillion"
"indiana,vigo , United States","indiana vigo"
"indiana,wabash , United States","indiana wabash"
"indiana,warren , United States","indiana warren"
"indiana,warrick , United States","indiana warrick"
"indiana,washington , United States","indiana washington"
"indiana,wayne , United States","indiana wayne"
"indiana,wells , United States","indiana wells"
"indiana,white , United States","indiana white"
"indiana,whitley , United States","indiana whitley"
"iowa,adair , United States","iowa adair"
"iowa,adams , United States","iowa adams"
"iowa,allamakee , United States","iowa allamakee"
"iowa,appanoose , United States","iowa appanoose"
"iowa,audubon , United States","iowa audubon"
"iowa,benton , United States","iowa benton"
"iowa,black hawk , United States","iowa black hawk"
"iowa,boone , United States","iowa boone"
"iowa,bremer , United States","iowa bremer"
"iowa,buchanan , United States","iowa buchanan"
"iowa,buena vista , United States","iowa buena vista"
"iowa,butler , United States","iowa butler"
"iowa,calhoun , United States","iowa calhoun"
"iowa,carroll , United States","iowa carroll"
"iowa,cass , United States","iowa cass"
"iowa,cedar , United States","iowa cedar"
"iowa,cerro gordo , United States","iowa cerro gordo"
"iowa,cherokee , United States","iowa cherokee"
"iowa,chickasaw , United States","iowa chickasaw"
"iowa,clarke , United States","iowa clarke"
"iowa,clay , United States","iowa clay"
"iowa,clayton , United States","iowa clayton"
"iowa,clinton , United States","iowa clinton"
"iowa,crawford , United States","iowa crawford"
"iowa,dallas , United States","iowa dallas"
"iowa,davis , United States","iowa davis"
"iowa,decatur , United States","iowa decatur"
"iowa,delaware , United States","iowa delaware"
"iowa,des moines , United States","iowa des moines"
"iowa,dickinson , United States","iowa dickinson"
"iowa,dubuque , United States","iowa dubuque"
"iowa,emmet , United States","iowa emmet"
"iowa,fayette , United States","iowa fayette"
"iowa,floyd , United States","iowa floyd"
"iowa,franklin , United States","iowa franklin"
"iowa,fremont , United States","iowa fremont"
"iowa,greene , United States","iowa greene"
"iowa,grundy , United States","iowa grundy"
"iowa,guthrie , United States","iowa guthrie"
"iowa,hamilton , United States","iowa hamilton"
"iowa,hancock , United States","iowa hancock"
"iowa,hardin , United States","iowa hardin"
"iowa,harrison , United States","iowa harrison"
"iowa,henry , United States","iowa henry"
"iowa,howard , United States","iowa howard"
"iowa,humboldt , United States","iowa humboldt"
"iowa,ida , United States","iowa ida"
"iowa,iowa , United States","iowa iowa"
"iowa,jackson , United States","iowa jackson"
"iowa,jasper , United States","iowa jasper"
"iowa,jefferson , United States","iowa jefferson"
"iowa,johnson , United States","iowa johnson"
"iowa,jones , United States","iowa jones"
"iowa,keokuk , United States","iowa keokuk"
"iowa,kossuth , United States","iowa kossuth"
"iowa,lee , United States","iowa lee"
"iowa,linn , United States","iowa linn"
"iowa,louisa , United States","iowa louisa"
"iowa,lucas , United States","iowa lucas"
"iowa,lyon , United States","iowa lyon"
"iowa,madison , United States","iowa madison"
"iowa,mahaska , United States","iowa mahaska"
"iowa,marion , United States","iowa marion"
"iowa,marshall , United States","iowa marshall"
"iowa,mills , United States","iowa mills"
"iowa,mitchell , United States","iowa mitchell"
"iowa,monona , United States","iowa monona"
"iowa,monroe , United States","iowa monroe"
"iowa,montgomery , United States","iowa montgomery"
"iowa,muscatine , United States","iowa muscatine"
"iowa,obrien , United States","iowa obrien"
"iowa,osceola , United States","iowa osceola"
"iowa,page , United States","iowa page"
"iowa,palo alto , United States","iowa palo alto"
"iowa,plymouth , United States","iowa plymouth"
"iowa,pocahontas , United States","iowa pocahontas"
"iowa,polk , United States","iowa polk"
"iowa,pottawattamie , United States","iowa pottawattamie"
"iowa,poweshiek , United States","iowa poweshiek"
"iowa,ringgold , United States","iowa ringgold"
"iowa,sac , United States","iowa sac"
"iowa,scott , United States","iowa scott"
"iowa,shelby , United States","iowa shelby"
"iowa,sioux , United States","iowa sioux"
"iowa,story , United States","iowa story"
"iowa,tama , United States","iowa tama"
"iowa,taylor , United States","iowa taylor"
"iowa,union , United States","iowa union"
"iowa,van buren , United States","iowa van buren"
"iowa,wapello , United States","iowa wapello"
"iowa,warren , United States","iowa warren"
"iowa,washington , United States","iowa washington"
"iowa,wayne , United States","iowa wayne"
"iowa,webster , United States","iowa webster"
"iowa,winnebago , United States","iowa winnebago"
"iowa,winneshiek , United States","iowa winneshiek"
"iowa,woodbury , United States","iowa woodbury"
"iowa,worth , United States","iowa worth"
"iowa,wright , United States","iowa wright"
"kansas,allen , United States","kansas allen"
"kansas,anderson , United States","kansas anderson"
"kansas,atchison , United States","kansas atchison"
"kansas,barber , United States","kansas barber"
"kansas,barton , United States","kansas barton"
"kansas,bourbon , United States","kansas bourbon"
"kansas,brown , United States","kansas brown"
"kansas,butler , United States","kansas butler"
"kansas,chase , United States","kansas chase"
"kansas,chautauqua , United States","kansas chautauqua"
"kansas,cherokee , United States","kansas cherokee"
"kansas,cheyenne , United States","kansas cheyenne"
"kansas,clark , United States","kansas clark"
"kansas,clay , United States","kansas clay"
"kansas,cloud , United States","kansas cloud"
"kansas,coffey , United States","kansas coffey"
"kansas,comanche , United States","kansas comanche"
"kansas,cowley , United States","kansas cowley"
"kansas,crawford , United States","kansas crawford"
"kansas,decatur , United States","kansas decatur"
"kansas,dickinson , United States","kansas dickinson"
"kansas,doniphan , United States","kansas doniphan"
"kansas,douglas , United States","kansas douglas"
"kansas,edwards , United States","kansas edwards"
"kansas,elk , United States","kansas elk"
"kansas,ellis , United States","kansas ellis"
"kansas,ellsworth , United States","kansas ellsworth"
"kansas,finney , United States","kansas finney"
"kansas,ford , United States","kansas ford"
"kansas,franklin , United States","kansas franklin"
"kansas,geary , United States","kansas geary"
"kansas,gove , United States","kansas gove"
"kansas,graham , United States","kansas graham"
"kansas,grant , United States","kansas grant"
"kansas,gray , United States","kansas gray"
"kansas,greeley , United States","kansas greeley"
"kansas,greenwood , United States","kansas greenwood"
"kansas,hamilton , United States","kansas hamilton"
"kansas,harper , United States","kansas harper"
"kansas,harvey , United States","kansas harvey"
"kansas,haskell , United States","kansas haskell"
"kansas,hodgeman , United States","kansas hodgeman"
"kansas,jackson , United States","kansas jackson"
"kansas,jefferson , United States","kansas jefferson"
"kansas,jewell , United States","kansas jewell"
"kansas,johnson , United States","kansas johnson"
"kansas,kearny , United States","kansas kearny"
"kansas,kingman , United States","kansas kingman"
"kansas,kiowa , United States","kansas kiowa"
"kansas,labette , United States","kansas labette"
"kansas,lane , United States","kansas lane"
"kansas,leavenworth , United States","kansas leavenworth"
"kansas,lincoln , United States","kansas lincoln"
"kansas,linn , United States","kansas linn"
"kansas,logan , United States","kansas logan"
"kansas,lyon , United States","kansas lyon"
"kansas,mcpherson , United States","kansas mcpherson"
"kansas,marion , United States","kansas marion"
"kansas,marshall , United States","kansas marshall"
"kansas,meade , United States","kansas meade"
"kansas,miami , United States","kansas miami"
"kansas,mitchell , United States","kansas mitchell"
"kansas,montgomery , United States","kansas montgomery"
"kansas,morris , United States","kansas morris"
"kansas,morton , United States","kansas morton"
"kansas,nemaha , United States","kansas nemaha"
"kansas,neosho , United States","kansas neosho"
"kansas,ness , United States","kansas ness"
"kansas,norton , United States","kansas norton"
"kansas,osage , United States","kansas osage"
"kansas,osborne , United States","kansas osborne"
"kansas,ottawa , United States","kansas ottawa"
"kansas,pawnee , United States","kansas pawnee"
"kansas,phillips , United States","kansas phillips"
"kansas,pottawatomie , United States","kansas pottawatomie"
"kansas,pratt , United States","kansas pratt"
"kansas,rawlins , United States","kansas rawlins"
"kansas,reno , United States","kansas reno"
"kansas,republic , United States","kansas republic"
"kansas,rice , United States","kansas rice"
"kansas,riley , United States","kansas riley"
"kansas,rooks , United States","kansas rooks"
"kansas,rush , United States","kansas rush"
"kansas,russell , United States","kansas russell"
"kansas,saline , United States","kansas saline"
"kansas,scott , United States","kansas scott"
"kansas,sedgwick , United States","kansas sedgwick"
"kansas,seward , United States","kansas seward"
"kansas,shawnee , United States","kansas shawnee"
"kansas,sheridan , United States","kansas sheridan"
"kansas,sherman , United States","kansas sherman"
"kansas,smith , United States","kansas smith"
"kansas,stafford , United States","kansas stafford"
"kansas,stanton , United States","kansas stanton"
"kansas,stevens , United States","kansas stevens"
"kansas,sumner , United States","kansas sumner"
"kansas,thomas , United States","kansas thomas"
"kansas,trego , United States","kansas trego"
"kansas,wabaunsee , United States","kansas wabaunsee"
"kansas,wallace , United States","kansas wallace"
"kansas,washington , United States","kansas washington"
"kansas,wichita , United States","kansas wichita"
"kansas,wilson , United States","kansas wilson"
"kansas,woodson , United States","kansas woodson"
"kansas,wyandotte , United States","kansas wyandotte"
"kentucky,adair , United States","kentucky adair"
"kentucky,allen , United States","kentucky allen"
"kentucky,anderson , United States","kentucky anderson"
"kentucky,ballard , United States","kentucky ballard"
"kentucky,barren , United States","kentucky barren"
"kentucky,bath , United States","kentucky bath"
"kentucky,bell , United States","kentucky bell"
"kentucky,boone , United States","kentucky boone"
"kentucky,bourbon , United States","kentucky bourbon"
"kentucky,boyd , United States","kentucky boyd"
"kentucky,boyle , United States","kentucky boyle"
"kentucky,bracken , United States","kentucky bracken"
"kentucky,breathitt , United States","kentucky breathitt"
"kentucky,breckinridge , United States","kentucky breckinridge"
"kentucky,bullitt , United States","kentucky bullitt"
"kentucky,butler , United States","kentucky butler"
"kentucky,caldwell , United States","kentucky caldwell"
"kentucky,calloway , United States","kentucky calloway"
"kentucky,campbell , United States","kentucky campbell"
"kentucky,carlisle , United States","kentucky carlisle"
"kentucky,carroll , United States","kentucky carroll"
"kentucky,carter , United States","kentucky carter"
"kentucky,casey , United States","kentucky casey"
"kentucky,christian , United States","kentucky christian"
"kentucky,clark , United States","kentucky clark"
"kentucky,clay , United States","kentucky clay"
"kentucky,clinton , United States","kentucky clinton"
"kentucky,crittenden , United States","kentucky crittenden"
"kentucky,cumberland , United States","kentucky cumberland"
"kentucky,daviess , United States","kentucky daviess"
"kentucky,edmonson , United States","kentucky edmonson"
"kentucky,elliott , United States","kentucky elliott"
"kentucky,estill , United States","kentucky estill"
"kentucky,fayette , United States","kentucky fayette"
"kentucky,fleming , United States","kentucky fleming"
"kentucky,floyd , United States","kentucky floyd"
"kentucky,franklin , United States","kentucky franklin"
"kentucky,fulton , United States","kentucky fulton"
"kentucky,gallatin , United States","kentucky gallatin"
"kentucky,garrard , United States","kentucky garrard"
"kentucky,grant , United States","kentucky grant"
"kentucky,graves , United States","kentucky graves"
"kentucky,grayson , United States","kentucky grayson"
"kentucky,green , United States","kentucky green"
"kentucky,greenup , United States","kentucky greenup"
"kentucky,hancock , United States","kentucky hancock"
"kentucky,hardin , United States","kentucky hardin"
"kentucky,harlan , United States","kentucky harlan"
"kentucky,harrison , United States","kentucky harrison"
"kentucky,hart , United States","kentucky hart"
"kentucky,henderson , United States","kentucky henderson"
"kentucky,henry , United States","kentucky henry"
"kentucky,hickman , United States","kentucky hickman"
"kentucky,hopkins , United States","kentucky hopkins"
"kentucky,jackson , United States","kentucky jackson"
"kentucky,jefferson , United States","kentucky jefferson"
"kentucky,jessamine , United States","kentucky jessamine"
"kentucky,johnson , United States","kentucky johnson"
"kentucky,kenton , United States","kentucky kenton"
"kentucky,knott , United States","kentucky knott"
"kentucky,knox , United States","kentucky knox"
"kentucky,larue , United States","kentucky larue"
"kentucky,laurel , United States","kentucky laurel"
"kentucky,lawrence , United States","kentucky lawrence"
"kentucky,lee , United States","kentucky lee"
"kentucky,leslie , United States","kentucky leslie"
"kentucky,letcher , United States","kentucky letcher"
"kentucky,lewis , United States","kentucky lewis"
"kentucky,lincoln , United States","kentucky lincoln"
"kentucky,livingston , United States","kentucky livingston"
"kentucky,logan , United States","kentucky logan"
"kentucky,lyon , United States","kentucky lyon"
"kentucky,mccracken , United States","kentucky mccracken"
"kentucky,mccreary , United States","kentucky mccreary"
"kentucky,mclean , United States","kentucky mclean"
"kentucky,madison , United States","kentucky madison"
"kentucky,magoffin , United States","kentucky magoffin"
"kentucky,marion , United States","kentucky marion"
"kentucky,marshall , United States","kentucky marshall"
"kentucky,martin , United States","kentucky martin"
"kentucky,mason , United States","kentucky mason"
"kentucky,meade , United States","kentucky meade"
"kentucky,menifee , United States","kentucky menifee"
"kentucky,mercer , United States","kentucky mercer"
"kentucky,metcalfe , United States","kentucky metcalfe"
"kentucky,monroe , United States","kentucky monroe"
"kentucky,montgomery , United States","kentucky montgomery"
"kentucky,morgan , United States","kentucky morgan"
"kentucky,muhlenberg , United States","kentucky muhlenberg"
"kentucky,nelson , United States","kentucky nelson"
"kentucky,nicholas , United States","kentucky nicholas"
"kentucky,ohio , United States","kentucky ohio"
"kentucky,oldham , United States","kentucky oldham"
"kentucky,owen , United States","kentucky owen"
"kentucky,owsley , United States","kentucky owsley"
"kentucky,pendleton , United States","kentucky pendleton"
"kentucky,perry , United States","kentucky perry"
"kentucky,pike , United States","kentucky pike"
"kentucky,powell , United States","kentucky powell"
"kentucky,pulaski , United States","kentucky pulaski"
"kentucky,robertson , United States","kentucky robertson"
"kentucky,rockcastle , United States","kentucky rockcastle"
"kentucky,rowan , United States","kentucky rowan"
"kentucky,russell , United States","kentucky russell"
"kentucky,scott , United States","kentucky scott"
"kentucky,shelby , United States","kentucky shelby"
"kentucky,simpson , United States","kentucky simpson"
"kentucky,spencer , United States","kentucky spencer"
"kentucky,taylor , United States","kentucky taylor"
"kentucky,todd , United States","kentucky todd"
"kentucky,trigg , United States","kentucky trigg"
"kentucky,trimble , United States","kentucky trimble"
"kentucky,union , United States","kentucky union"
"kentucky,warren , United States","kentucky warren"
"kentucky,washington , United States","kentucky washington"
"kentucky,wayne , United States","kentucky wayne"
"kentucky,webster , United States","kentucky webster"
"kentucky,whitley , United States","kentucky whitley"
"kentucky,wolfe , United States","kentucky wolfe"
"kentucky,woodford , United States","kentucky woodford"
"louisiana,acadia , United States","louisiana acadia"
"louisiana,allen , United States","louisiana allen"
"louisiana,ascension , United States","louisiana ascension"
"louisiana,assumption , United States","louisiana assumption"
"louisiana,avoyelles , United States","louisiana avoyelles"
"louisiana,beauregard , United States","louisiana beauregard"
"louisiana,bienville , United States","louisiana bienville"
"louisiana,bossier , United States","louisiana bossier"
"louisiana,caddo , United States","louisiana caddo"
"louisiana,calcasieu , United States","louisiana calcasieu"
"louisiana,caldwell , United States","louisiana caldwell"
"louisiana,cameron , United States","louisiana cameron"
"louisiana,catahoula , United States","louisiana catahoula"
"louisiana,claiborne , United States","louisiana claiborne"
"louisiana,concordia , United States","louisiana concordia"
"louisiana,de soto , United States","louisiana de soto"
"louisiana,east baton rouge , United States","louisiana east baton rouge"
"louisiana,east carroll , United States","louisiana east carroll"
"louisiana,east feliciana , United States","louisiana east feliciana"
"louisiana,evangeline , United States","louisiana evangeline"
"louisiana,franklin , United States","louisiana franklin"
"louisiana,grant , United States","louisiana grant"
"louisiana,iberia , United States","louisiana iberia"
"louisiana,iberville , United States","louisiana iberville"
"louisiana,jackson , United States","louisiana jackson"
"louisiana,jefferson , United States","louisiana jefferson"
"louisiana,jefferson davis , United States","louisiana jefferson davis"
"louisiana,lafayette , United States","louisiana lafayette"
"louisiana,lafourche , United States","louisiana lafourche"
"louisiana,la salle , United States","louisiana la salle"
"louisiana,lincoln , United States","louisiana lincoln"
"louisiana,livingston , United States","louisiana livingston"
"louisiana,madison , United States","louisiana madison"
"louisiana,morehouse , United States","louisiana morehouse"
"louisiana,natchitoches , United States","louisiana natchitoches"
"louisiana,orleans , United States","louisiana orleans"
"louisiana,ouachita , United States","louisiana ouachita"
"louisiana,plaquemines , United States","louisiana plaquemines"
"louisiana,pointe coupee , United States","louisiana pointe coupee"
"louisiana,rapides , United States","louisiana rapides"
"louisiana,red river , United States","louisiana red river"
"louisiana,richland , United States","louisiana richland"
"louisiana,sabine , United States","louisiana sabine"
"louisiana,st bernard , United States","louisiana st bernard"
"louisiana,st charles , United States","louisiana st charles"
"louisiana,st helena , United States","louisiana st helena"
"louisiana,st james , United States","louisiana st james"
"louisiana,st john the baptist , United States","louisiana st john the baptist"
"louisiana,st landry , United States","louisiana st landry"
"louisiana,st martin:north , United States","louisiana st martin:north"
"louisiana,st martin:south , United States","louisiana st martin:south"
"louisiana,st mary , United States","louisiana st mary"
"louisiana,st tammany , United States","louisiana st tammany"
"louisiana,tangipahoa , United States","louisiana tangipahoa"
"louisiana,tensas , United States","louisiana tensas"
"louisiana,terrebonne , United States","louisiana terrebonne"
"louisiana,union , United States","louisiana union"
"louisiana,vermilion , United States","louisiana vermilion"
"louisiana,vernon , United States","louisiana vernon"
"louisiana,washington , United States","louisiana washington"
"louisiana,webster , United States","louisiana webster"
"louisiana,west baton rouge , United States","louisiana west baton rouge"
"louisiana,west carroll , United States","louisiana west carroll"
"louisiana,west feliciana , United States","louisiana west feliciana"
"louisiana,winn , United States","louisiana winn"
"maine,androscoggin , United States","maine androscoggin"
"maine,aroostook , United States","maine aroostook"
"maine,cumberland , United States","maine cumberland"
"maine,franklin , United States","maine franklin"
"maine,hancock , United States","maine hancock"
"maine,kennebec , United States","maine kennebec"
"maine,knox , United States","maine knox"
"maine,lincoln , United States","maine lincoln"
"maine,oxford , United States","maine oxford"
"maine,penobscot , United States","maine penobscot"
"maine,piscataquis , United States","maine piscataquis"
"maine,sagadahoc , United States","maine sagadahoc"
"maine,somerset , United States","maine somerset"
"maine,waldo , United States","maine waldo"
"maine,washington , United States","maine washington"
"maine,york , United States","maine york"
"maryland,allegany , United States","maryland allegany"
"maryland,anne arundel , United States","maryland anne arundel"
"maryland,baltimore , United States","maryland baltimore"
"maryland,calvert , United States","maryland calvert"
"maryland,caroline , United States","maryland caroline"
"maryland,carroll , United States","maryland carroll"
"maryland,cecil , United States","maryland cecil"
"maryland,charles , United States","maryland charles"
"maryland,dorchester , United States","maryland dorchester"
"maryland,frederick , United States","maryland frederick"
"maryland,garrett , United States","maryland garrett"
"maryland,harford , United States","maryland harford"
"maryland,howard , United States","maryland howard"
"maryland,kent , United States","maryland kent"
"maryland,montgomery , United States","maryland montgomery"
"maryland,prince georges , United States","maryland prince georges"
"maryland,queen annes , United States","maryland queen annes"
"maryland,st marys , United States","maryland st marys"
"maryland,somerset , United States","maryland somerset"
"maryland,talbot , United States","maryland talbot"
"maryland,washington , United States","maryland washington"
"maryland,wicomico , United States","maryland wicomico"
"maryland,worcester , United States","maryland worcester"
"maryland,baltimore city , United States","maryland baltimore city"
"massachusetts,barnstable , United States","massachusetts barnstable"
"massachusetts,berkshire , United States","massachusetts berkshire"
"massachusetts,bristol , United States","massachusetts bristol"
"massachusetts,dukes , United States","massachusetts dukes"
"massachusetts,essex , United States","massachusetts essex"
"massachusetts,franklin , United States","massachusetts franklin"
"massachusetts,hampden , United States","massachusetts hampden"
"massachusetts,hampshire , United States","massachusetts hampshire"
"massachusetts,middlesex , United States","massachusetts middlesex"
"massachusetts,nantucket , United States","massachusetts nantucket"
"massachusetts,norfolk , United States","massachusetts norfolk"
"massachusetts,plymouth , United States","massachusetts plymouth"
"massachusetts,suffolk , United States","massachusetts suffolk"
"massachusetts,worcester , United States","massachusetts worcester"
"michigan,alcona , United States","michigan alcona"
"michigan,alger , United States","michigan alger"
"michigan,allegan , United States","michigan allegan"
"michigan,alpena , United States","michigan alpena"
"michigan,antrim , United States","michigan antrim"
"michigan,arenac , United States","michigan arenac"
"michigan,baraga , United States","michigan baraga"
"michigan,barry , United States","michigan barry"
"michigan,bay , United States","michigan bay"
"michigan,benzie , United States","michigan benzie"
"michigan,berrien , United States","michigan berrien"
"michigan,branch , United States","michigan branch"
"michigan,calhoun , United States","michigan calhoun"
"michigan,cass , United States","michigan cass"
"michigan,charlevoix , United States","michigan charlevoix"
"michigan,cheboygan , United States","michigan cheboygan"
"michigan,chippewa , United States","michigan chippewa"
"michigan,clare , United States","michigan clare"
"michigan,clinton , United States","michigan clinton"
"michigan,crawford , United States","michigan crawford"
"michigan,delta , United States","michigan delta"
"michigan,dickinson , United States","michigan dickinson"
"michigan,eaton , United States","michigan eaton"
"michigan,emmet , United States","michigan emmet"
"michigan,genesee , United States","michigan genesee"
"michigan,gladwin , United States","michigan gladwin"
"michigan,gogebic , United States","michigan gogebic"
"michigan,grand traverse , United States","michigan grand traverse"
"michigan,gratiot , United States","michigan gratiot"
"michigan,hillsdale , United States","michigan hillsdale"
"michigan,houghton , United States","michigan houghton"
"michigan,huron , United States","michigan huron"
"michigan,ingham , United States","michigan ingham"
"michigan,ionia , United States","michigan ionia"
"michigan,iosco , United States","michigan iosco"
"michigan,iron , United States","michigan iron"
"michigan,isabella , United States","michigan isabella"
"michigan,jackson , United States","michigan jackson"
"michigan,kalamazoo , United States","michigan kalamazoo"
"michigan,kalkaska , United States","michigan kalkaska"
"michigan,kent , United States","michigan kent"
"michigan,keweenaw , United States","michigan keweenaw"
"michigan,lake , United States","michigan lake"
"michigan,lapeer , United States","michigan lapeer"
"michigan,leelanau , United States","michigan leelanau"
"michigan,lenawee , United States","michigan lenawee"
"michigan,livingston , United States","michigan livingston"
"michigan,luce , United States","michigan luce"
"michigan,mackinac , United States","michigan mackinac"
"michigan,macomb , United States","michigan macomb"
"michigan,manistee , United States","michigan manistee"
"michigan,marquette , United States","michigan marquette"
"michigan,mason , United States","michigan mason"
"michigan,mecosta , United States","michigan mecosta"
"michigan,menominee , United States","michigan menominee"
"michigan,midland , United States","michigan midland"
"michigan,missaukee , United States","michigan missaukee"
"michigan,monroe , United States","michigan monroe"
"michigan,montcalm , United States","michigan montcalm"
"michigan,montmorency , United States","michigan montmorency"
"michigan,muskegon , United States","michigan muskegon"
"michigan,newaygo , United States","michigan newaygo"
"michigan,oakland , United States","michigan oakland"
"michigan,oceana , United States","michigan oceana"
"michigan,ogemaw , United States","michigan ogemaw"
"michigan,ontonagon , United States","michigan ontonagon"
"michigan,osceola , United States","michigan osceola"
"michigan,oscoda , United States","michigan oscoda"
"michigan,otsego , United States","michigan otsego"
"michigan,ottawa , United States","michigan ottawa"
"michigan,presque isle , United States","michigan presque isle"
"michigan,roscommon , United States","michigan roscommon"
"michigan,saginaw , United States","michigan saginaw"
"michigan,st clair , United States","michigan st clair"
"michigan,st joseph , United States","michigan st joseph"
"michigan,sanilac , United States","michigan sanilac"
"michigan,schoolcraft , United States","michigan schoolcraft"
"michigan,shiawassee , United States","michigan shiawassee"
"michigan,tuscola , United States","michigan tuscola"
"michigan,van buren , United States","michigan van buren"
"michigan,washtenaw , United States","michigan washtenaw"
"michigan,wayne , United States","michigan wayne"
"michigan,wexford , United States","michigan wexford"
"minnesota,aitkin , United States","minnesota aitkin"
"minnesota,anoka , United States","minnesota anoka"
"minnesota,becker , United States","minnesota becker"
"minnesota,beltrami , United States","minnesota beltrami"
"minnesota,benton , United States","minnesota benton"
"minnesota,big stone , United States","minnesota big stone"
"minnesota,blue earth , United States","minnesota blue earth"
"minnesota,brown , United States","minnesota brown"
"minnesota,carlton , United States","minnesota carlton"
"minnesota,carver , United States","minnesota carver"
"minnesota,cass , United States","minnesota cass"
"minnesota,chippewa , United States","minnesota chippewa"
"minnesota,chisago , United States","minnesota chisago"
"minnesota,clay , United States","minnesota clay"
"minnesota,clearwater , United States","minnesota clearwater"
"minnesota,cook , United States","minnesota cook"
"minnesota,cottonwood , United States","minnesota cottonwood"
"minnesota,crow wing , United States","minnesota crow wing"
"minnesota,dakota , United States","minnesota dakota"
"minnesota,dodge , United States","minnesota dodge"
"minnesota,douglas , United States","minnesota douglas"
"minnesota,faribault , United States","minnesota faribault"
"minnesota,fillmore , United States","minnesota fillmore"
"minnesota,freeborn , United States","minnesota freeborn"
"minnesota,goodhue , United States","minnesota goodhue"
"minnesota,grant , United States","minnesota grant"
"minnesota,hennepin , United States","minnesota hennepin"
"minnesota,houston , United States","minnesota houston"
"minnesota,hubbard , United States","minnesota hubbard"
"minnesota,isanti , United States","minnesota isanti"
"minnesota,itasca , United States","minnesota itasca"
"minnesota,jackson , United States","minnesota jackson"
"minnesota,kanabec , United States","minnesota kanabec"
"minnesota,kandiyohi , United States","minnesota kandiyohi"
"minnesota,kittson , United States","minnesota kittson"
"minnesota,koochiching , United States","minnesota koochiching"
"minnesota,lac qui parle , United States","minnesota lac qui parle"
"minnesota,lake , United States","minnesota lake"
"minnesota,lake of the woods , United States","minnesota lake of the woods"
"minnesota,le sueur , United States","minnesota le sueur"
"minnesota,lincoln , United States","minnesota lincoln"
"minnesota,lyon , United States","minnesota lyon"
"minnesota,mcleod , United States","minnesota mcleod"
"minnesota,mahnomen , United States","minnesota mahnomen"
"minnesota,marshall , United States","minnesota marshall"
"minnesota,martin , United States","minnesota martin"
"minnesota,meeker , United States","minnesota meeker"
"minnesota,mille lacs , United States","minnesota mille lacs"
"minnesota,morrison , United States","minnesota morrison"
"minnesota,mower , United States","minnesota mower"
"minnesota,murray , United States","minnesota murray"
"minnesota,nicollet , United States","minnesota nicollet"
"minnesota,nobles , United States","minnesota nobles"
"minnesota,norman , United States","minnesota norman"
"minnesota,olmsted , United States","minnesota olmsted"
"minnesota,otter tail , United States","minnesota otter tail"
"minnesota,pennington , United States","minnesota pennington"
"minnesota,pine , United States","minnesota pine"
"minnesota,pipestone , United States","minnesota pipestone"
"minnesota,polk , United States","minnesota polk"
"minnesota,pope , United States","minnesota pope"
"minnesota,ramsey , United States","minnesota ramsey"
"minnesota,red lake , United States","minnesota red lake"
"minnesota,redwood , United States","minnesota redwood"
"minnesota,renville , United States","minnesota renville"
"minnesota,rice , United States","minnesota rice"
"minnesota,rock , United States","minnesota rock"
"minnesota,roseau , United States","minnesota roseau"
"minnesota,st louis , United States","minnesota st louis"
"minnesota,scott , United States","minnesota scott"
"minnesota,sherburne , United States","minnesota sherburne"
"minnesota,sibley , United States","minnesota sibley"
"minnesota,stearns , United States","minnesota stearns"
"minnesota,steele , United States","minnesota steele"
"minnesota,stevens , United States","minnesota stevens"
"minnesota,swift , United States","minnesota swift"
"minnesota,todd , United States","minnesota todd"
"minnesota,traverse , United States","minnesota traverse"
"minnesota,wabasha , United States","minnesota wabasha"
"minnesota,wadena , United States","minnesota wadena"
"minnesota,waseca , United States","minnesota waseca"
"minnesota,washington , United States","minnesota washington"
"minnesota,watonwan , United States","minnesota watonwan"
"minnesota,wilkin , United States","minnesota wilkin"
"minnesota,winona , United States","minnesota winona"
"minnesota,wright , United States","minnesota wright"
"minnesota,yellow medicine , United States","minnesota yellow medicine"
"mississippi,adams , United States","mississippi adams"
